,0
5,11.0
598,20.0
333,18.0
89,17.0
596,11.0
370,4.0
364,3.0
133,15.0
609,19.0
376,23.0
151,19.0
517,19.0
47,5.0
23,24.0
716,7.0
189,3.0
171,21.0
55,19.0
470,11.0
477,24.0
696,21.0
108,9.0
255,7.0
212,2.0
744,20.0
307,22.0
278,22.0
482,22.0
73,15.0
277,24.0
467,18.0
465,20.0
273,17.0
43,18.0
332,10.0
86,17.0
208,11.0
339,16.0
732,20.0
394,4.0
437,8.0
216,20.0
315,2.0
457,10.0
478,12.0
222,12.0
365,23.0
629,14.0
349,19.0
63,18.0
65,10.0
329,21.0
46,21.0
569,10.0
411,3.0
678,25.0
538,4.0
489,10.0
27,21.0
718,1.0
568,5.0
176,8.0
630,23.0
99,3.0
281,14.0
299,22.0
143,10.0
226,15.0
686,9.0
469,9.0
570,7.0
32,25.0
634,7.0
585,6.0
327,14.0
688,10.0
25,17.0
228,18.0
474,6.0
237,4.0
293,7.0
493,4.0
374,20.0
381,16.0
464,20.0
170,19.0
196,15.0
532,5.0
241,18.0
605,7.0
274,13.0
360,1.0
139,8.0
114,9.0
186,10.0
330,11.0
621,14.0
179,16.0
725,13.0
514,2.0
665,6.0
268,3.0
276,25.0
726,22.0
434,9.0
321,10.0
178,1.0
313,12.0
700,12.0
57,16.0
240,4.0
77,25.0
701,18.0
326,25.0
44,22.0
201,8.0
610,4.0
694,13.0
406,7.0
459,9.0
197,21.0
111,5.0
600,4.0
301,13.0
566,3.0
731,10.0
234,21.0
679,7.0
735,15.0
637,20.0
386,8.0
573,20.0
466,17.0
21,9.0
413,18.0
427,20.0
340,2.0
70,9.0
697,25.0
347,8.0
518,18.0
444,21.0
88,17.0
446,8.0
433,4.0
496,1.0
22,1.0
645,3.0
223,7.0
730,2.0
389,6.0
714,9.0
1,19.0
556,8.0
68,8.0
490,18.0
472,6.0
448,22.0
242,20.0
338,1.0
84,14.0
211,23.0
238,22.0
695,18.0
26,11.0
445,17.0
78,24.0
314,15.0
388,7.0
71,15.0
60,20.0
669,17.0
122,14.0
423,3.0
194,4.0
112,3.0
61,16.0
123,22.0
648,15.0
539,11.0
113,18.0
672,18.0
523,5.0
683,17.0
624,9.0
468,2.0
38,17.0
37,11.0
115,4.0
144,24.0
190,21.0
729,13.0
312,18.0
290,13.0
471,25.0
320,4.0
185,7.0
647,17.0
49,15.0
75,20.0
451,24.0
438,3.0
180,7.0
563,8.0
76,23.0
666,20.0
643,19.0
447,4.0
117,24.0
597,7.0
155,19.0
246,5.0
631,14.0
526,8.0
715,15.0
328,11.0
608,6.0
232,18.0
